source,target
AVer Information EH6108H+ devices with firmware X9.03.24.00.07l store passwords in a cleartext base64 format and require cleartext credentials in HTTP Cookie headers which allows contextdependent attacks to obtain sensitive information by reading these strings. ,Exposure of Sensitive Information to an Unauthorized Actor
DLink WiFi Extender Telecomm DLink DAP1320 DAP1320 Linux,Improper Access Control
Buffer overflow in Aterm W300P Ver1.0.13 and earlier allows attacker with administrator rights to execute arbitrary code via submiturl parameter. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Multiple exploitable buffer overflow vulnerabilities exist in the credentials handler of videocore's HTTP server of Samsung SmartThings Hub STHETH250 devices with firmware version 0.20.17. The videocore process incorrectly extracts fields from a usercontrolled JSON payload leading to a buffer overflow on the stack. A strncpy overflows the destination buffer which has a size of 16 bytes. An attacker can send an arbitrarily long region value in order to exploit this vulnerability. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Certain NETGEAR devices are affected by stored XSS. This affects D7800 before 1.0.1.34 DM200 before 1.0.0.52 R6100 before 1.0.1.22 R7500 before 1.0.0.122 R7500v2 before 1.0.3.26 R7800 before 1.0.2.42 R8900 before 1.0.4.2 R9000 before 1.0.3.16 WNDR4300 before 1.0.2.98 WNDR4300v2 before 1.0.0.54 WNDR4500v3 before 1.0.0.54 and WNR2000v5 before 1.0.0.64. ,Improper Neutralization of Special Elements
A vulnerability has been identified in SINUMERIK 808D V4.7 (All versions) SINUMERIK 808D V4.8 (All versions) SINUMERIK 828D V4.7 (All versions < V4.7 SP6 HF1) SINUMERIK 840D sl V4.7 (All versions < V4.7 SP6 HF5) SINUMERIK 840D sl V4.8 (All versions < V4.8 SP3). By sending a specially crafted authentication request to the affected systems a remote attacker could escalate his privileges to an elevated user account but not to root. The security vulnerability could be exploited by an attacker with network access to the affected systems. Successful exploitation requires no privileges and no user interaction. The vulnerability could allow an attacker to compromise confidentiality integrity and availability of the system. At the time of advisory publication no public exploitation of this security vulnerability was known. ,Improper Input Validation
Multiple heapbased buffer overflow vulnerabilities exist in Honeywell Experion PKS all versions prior to R400.6 all versions prior to R410.6 and all versions prior to R430.2 modules which could lead to possible remote code execution or denial of service. Honeywell strongly encourages and recommends all customers running unsupported versions of EKPS prior to R400 to upgrade to a supported version. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
The Soft Access Point (AP) feature in Samsung Smart TVs X10P X12 X14H X14J and NT14U and Xpress M288OFW printers generate weak WPA2 PSK keys which makes it easier for remote attackers to obtain sensitive information or bypass authentication via a bruteforce attack. ,Exposure of Sensitive Information to an Unauthorized Actor
Unspecified vulnerability in the server in Certec EDV atvise before 2.1 allows remote attackers to cause a denial of service (daemon crash) via crafted requests to TCP port 4840. ,Improper Resource Shutdown or Release
Cisco NXOS 6.0(2)U6(1) through 6.0(2)U6(5) on Nexus 3000 devices and 6.0(2)A6(1) through 6.0(2)A6(5) and 6.0(2)A7(1) on Nexus 3500 devices has hardcoded credentials which allows remote attackers to obtain root privileges via a (1) TELNET or (2) SSH session aka Bug ID CSCuy25800. ,Improper Authentication
Information disclosure in AsuswrtMerlin firmware for ASUS devices older than 384.4 and ASUS firmware before 3.0.0.4.382.50470 for devices allows remote attackers to acquire information on internal network IP address ranges by reading the new_lan_ip variable on the error_page.htm page. ,Exposure of Sensitive Information to an Unauthorized Actor
A vulnerability has been identified in SIMATIC STEP 7 (TIA Portal) (All Versions < V15.1). Password hashes with insufficient computational effort could allow an attacker to access to a project file and reconstruct passwords. The vulnerability could be exploited by an attacker with local access to the project file. No user interaction is required to exploit the vulnerability. The vulnerability could allow the attacker to obtain certain passwords from the project. At the time of advisory publication no public exploitation of this vulnerability was known. ,Exposure of Sensitive Information to an Unauthorized Actor
Samsung Smart Hub Smart Home SmartThings Groovy IDE STHETH250 Unknown,Improper Restriction of Operations within the Bounds of a Memory Buffer
Certain NETGEAR devices are affected by command injection by an unauthenticated attacker. This affects RBK852 before 3.2.16.6 RBR850 before 3.2.16.6 and RBS850 before 3.2.16.6. ,Improper Neutralization of Special Elements
An issue was discovered in Moxa NPort 5110 versions prior to 2.6 NPort 5130 5150 Series versions prior to 3.6 NPort 5200 Series versions prior to 2.8 NPort 5400 Series versions prior to 3.11 NPort 5600 Series versions prior to 3.7 NPort 5100A Series & NPort P5150A versions prior to 1.3 NPort 5200A Series versions prior to 1.3 NPort 5150AIM12 Series versions prior to 1.2 NPort 5250AIM12 Series versions prior to 1.2 NPort 5450AIM12 Series versions prior to 1.2 NPort 56008DT Series versions prior to 2.4 NPort 56008DTL Series versions prior to 2.4 NPort 6x50 Series versions prior to 1.13.11 NPort IA5450A versions prior to v1.4.Requests are not verified to be intentionally submitted by the proper user (CROSSSITE REQUEST FORGERY). ,Insufficient Verification of Data Authenticity
A vulnerability has been identified in SIMATIC S7400 (incl. F) V6 and below (All versions) SIMATIC S7400 PN DP V7 (incl. F) (All versions) SIMATIC S7400H V4.5 and below (All versions) SIMATIC S7400H V6 (All versions < V6.0.9) SIMATIC S7410 (All versions < V8.2.1). Sending of specially crafted packets to port 102 tcp via Ethernet interface via PROFIBUS or Multi Point Interfaces (MPI) could cause a DenialofService condition on affected devices. Flashing with a firmware image may be required to recover the CPU. Successful exploitation requires an attacker to have network access to port 102 tcp via Ethernet interface or to be able to send messages via PROFIBUS or Multi Point Interfaces (MPI) to the device. No user interaction is required. If no access protection is configured no privileges are required to exploit the security vulnerability. The vulnerability could allow causing a DenialofService condition of the core functionality of the CPU compromising the availability of the system. At the time of advisory publication no public exploitation of this security vulnerability was known. ,Improper Neutralization of Special Elements
Draytek Router Telecomm DrayTek Vigor2960 router Vigor2960 Linux Linux dropbear 0 49 ,Improper Neutralization of Special Elements
SQL injection vulnerability in Moxa SoftCMS before 1.5 allows remote attackers to execute arbitrary SQL commands via unspecified fields. ,Improper Neutralization of Special Elements
Crosssite scripting (XSS) vulnerability in the HMI web application in Siemens WinCC (TIA Portal) 11 allows remote authenticated users to inject arbitrary web script or HTML via unspecified data. ,Improper Neutralization of Special Elements
A Path Traversal issue was discovered in Schneider Electric Pelco VideoXpert Enterprise all versions prior to 2.1. By sniffing communications an unauthorized person can execute a directory traversal attack resulting in authentication bypass or session hijack. ,Exposure of Resource to Wrong Sphere
An Insufficient Entropy issue was discovered in LOYTEC LVIS3ME versions prior to 6.2.0. The application does not utilize sufficiently random number generation for the web interface authentication mechanism which could allow remote code execution. ,Use of Insufficiently Random Values
AnImproper Authorizationissue was discovered in Sierra Wireless AirLink Raven XE all versions prior to 4.0.14 and AirLink Raven XT all versions prior to 4.0.11. Several files and directories can be accessed without authentication which may allow a remote attacker to perform sensitive functions including arbitrary file upload file download and device reboot. ,Improper Authentication
Multiple vulnerabilities in the webbased management interface of Cisco RV340 RV340W RV345 and RV345P Dual WAN Gigabit VPN Routers could allow an authenticated remote attacker to execute arbitrary code with elevated privileges equivalent to the web service process on an affected device. These vulnerabilities exist because HTTP requests are not properly validated. An attacker could exploit these vulnerabilities by sending a crafted HTTP request to the webbased management interface of an affected device. A successful exploit could allow the attacker to remotely execute arbitrary code on the device. ,Improper Control of DynamicallyManaged Code Resources
A vulnerability in the web framework code for Cisco RV180W WirelessN Multifunction VPN Router and Small Business RV Series RV220W Wireless Network Security Firewall could allow an unauthenticated remote attacker to execute arbitrary SQL queries. The attacker could retrieve sensitive information which should be restricted. A vulnerability in the web framework code for Cisco RV180W WirelessN Multifunction VPN Router and Small Business RV Series RV220W Wireless Network Security Firewall could allow an unauthenticated remote attacker to execute arbitrary SQL queries. The attacker could retrieve sensitive information which should be restricted. The product has entered the endoflife phase and there will be no more firmware fixes. ,Improper Neutralization of Special Elements
